time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2025-08-04 09:50:58,43.556765448239,-5.62078761703128,0,Available with any HD 360 subscription,Available with any HD 360 subscription,86.203813125976,0,0,0,0,28,5,0,86.203813125976,0,0,0,0,0,0,303.8, 2.8, 2.1,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,303.9,0,0,100,4.263,4.247,4.259,4.259,0,0,0,83.66,86.203813125976,0,41,Motors_Started,"Flying over vegetation."
300,2025-08-04 09:50:58,43.5567654447753,-5.62078760819002,0,,,86.203813125976,0,0,0.00265737541312,0.00265737541312,28,5,0,86.203813125976,0,0,0.00265737541312,0,0,0,303.8, 2.8, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,303.9,0,0,100,4.263,4.247,4.259,4.259,0,0,0,83.66,86.203813125976,0,41,Motors_Started,"Setting new Return-To-Home altitude to 25m (82 ft). Data Recorder File Index is 198. Setting new Maximum Flight Altitude to 45m (148 ft)"
500,2025-08-04 09:50:58,43.5567654430407,-5.6207876063238,0,,,86.203813125976,0,0,0.003407644466,0.0034598754388,28,5,0,86.203813125976,0,0,0.003407644466,0,0,0,303.7, 2.8, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,303.9,0,0,100,4.263,4.247,4.259,4.259,0,0,0,83.66,86.203813125976,0,41,Motors_Started,
700,2025-08-04 09:50:59,43.5567654454263,-5.62078759398627,0,,,86.203813125976,0,0,0.0061790028224,0.0068360566492,28,5,0,86.203813125976,0,0,0.0061790028224,0,0,0,303.6, 2.8, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.9,0,0,100,4.263,4.247,4.259,4.259,0,0,0,83.66,86.203813125976,0,41,Motors_Started,
900,2025-08-04 09:50:59,43.5567654552258,-5.62078757709015,0,,,86.203813125976,0,0,0.0108638783004,0.0125580056512,28,5,0,86.203813125976,0,0,0.0108638783004,0,0,0,303.5, 2.7, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.9,0,0,100,4.263,4.247,4.259,4.259,0,0,0,83.66,86.203813125976,0,41,Motors_Started,
1100,2025-08-04 09:50:59,43.5567654622362,-5.62078756366116,0,,,86.203813125976,0,0,0.0150069230524,0.0169340228516,28,5,0,86.203813125976,0,0,0.0150069230524,0,0,0,303.5, 2.8, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.9,0,0,100,4.263,4.247,4.259,4.259,0,0,0,83.66,86.203813125976,0,41,Motors_Started,
1300,2025-08-04 09:50:59,43.5567654652507,-5.62078754012862,0,,,86.203813125976,0,0,0.021259515116,0.0232525597992,28,5,17.131,86.203813125976,0,0,0.021259515116,0,0,0,303.4, 2.7, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.9,0,0,100,4.263,4.247,4.259,4.259,0,0,1.475,83.66,86.203813125976,0,41,Motors_Started,
1500,2025-08-04 09:50:59,43.556765469781,-5.62078752458837,0,,,86.203813125976,0,0,0.0256748039712,0.027681431332,28,5,17.131,86.203813125976,0,0,0.0256748039712,0,0,0,303.3, 2.7, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.8,0,0,100,4.263,4.247,4.259,4.259,0,0,1.475,83.66,86.203813125976,0,41,Motors_Started,
1700,2025-08-04 09:51:00,43.5567654797254,-5.62078751794968,0,,,86.203813125976,0,0,0.0286055783432,0.031711943272,28,5,17.131,86.203813125976,0,0,0.0286055783432,0,0,0,303.3, 2.7, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.8,0,0,100,4.263,4.247,4.259,4.259,0,0,1.475,83.66,86.203813125976,0,10,Assisted_Takeoff,
1900,2025-08-04 09:51:00,43.556765482502,-5.62078751909926,0,,,86.203813125976,0,0,0.0287532161432,0.0327696204712,28,5,17.131,86.203813125976,0,0,0.0287532161432,0,0,0,303.3, 2.7, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.8,0,0,100,4.263,4.247,4.259,4.259,0,0,1.475,83.66,86.203813125976,0,10,Assisted_Takeoff,
2100,2025-08-04 09:51:00,43.5567654897915,-5.62078750323553,0,,,86.203813125976,0,0,0.033691602128,0.03773622168,28,5,17.131,86.203813125976,0,0,0.033691602128,0,0,0,303.3, 2.7, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,303.8,0,0,100,4.263,4.247,4.259,4.259,0,0,1.475,83.66,86.203813125976,0,10,Assisted_Takeoff,
2300,2025-08-04 09:51:00,43.5567654820371,-5.6207875257156,0,,,86.203813125976,0,0,0.027110893256,0.044318899056,28,5,16.994,86.203813125976,0,0,0.033691602128,0,0,0,303.2, 2.7, 2.2,,,0,0,1304,1024,1024,1024,42,0,0,0,303.8,0,0,99,4.27,4.255,4.272,4.274,0,0,4.531,83.66,86.203813125976,0,10,Assisted_Takeoff,
2500,2025-08-04 09:51:00,43.5567654908941,-5.62078755167066,0,,,86.203813125976,0,0,0.0232561687232,0.051904201136,28,5,16.994,86.203813125976,0,0,0.033691602128,0,0,0,303.2, 2.7, 2.2,,,0,0,1465,1024,1024,1024,67,0,0,0,303.7,0,0,99,4.27,4.255,4.272,4.274,0,0,4.531,83.66,86.203813125976,0,10,Assisted_Takeoff,
2700,2025-08-04 09:51:01,43.5567654899017,-5.62078760848019,0,,,86.203813125976,0,0,0.0153678154524,0.066929464084,28,5,16.994,86.203813125976,0,0,0.033691602128,0,0,0,303.2, 2.6, 2.3,,,0,0,1684,1024,1024,1024,100,0,0,0,303.7,0,0,99,4.27,4.255,4.272,4.274,0,0,4.531,83.66,86.203813125976,0,10,Assisted_Takeoff,
2900,2025-08-04 09:51:01,43.5567655034517,-5.62078761889725,0,,,86.203813125976,0,0,0.0201503615372,0.072588585,28,5,16.994,86.203813125976,0,0,0.033691602128,0,0,0,302.8, 2, 2.3,,,0,0,1684,1024,1024,1024,100,0,0,0,303.7,0,0,99,4.27,4.255,4.272,4.274,0,0,4.531,83.66,86.203813125976,0,10,Assisted_Takeoff,
3100,2025-08-04 09:51:01,43.5567655510946,-5.62078764391658,0,,,86.203813125976,0,0,0.038194226944,0.091187338876,28,5,16.994,86.203813125976,0,0,0.038194226944,0,0,-0.447388,302.1, -3.8, 1.6,,,0,0,1684,1024,1024,1024,100,0,0,0,303.6,0,0,99,4.27,4.255,4.272,4.274,0,0,4.531,83.66,86.203813125976,0,10,Assisted_Takeoff,
3300,2025-08-04 09:51:01,43.5567657473979,-5.62078792203189,0.328084,,,86.531897125976,0.328084,0.3131716,0.135707681508,0.19383694846,28,5,17.097,86.531897125976,0.328084,0.3131716,0.135707681508,0.223694,-0.223694,-1.565858,303.2, 0, 0.9,,,0,0,1684,1024,1024,1024,100,0,0,0,303.6,0,0,99,4.278,4.261,4.278,4.278,0,0,2.525,83.66,86.531897125976,0.328084,31,Sport,
3500,2025-08-04 09:51:01,43.5567658918223,-5.62078833610809,0.984252,,,87.188065125976,0.984252,0.223694,0.249681110352,0.315340561272,28,5,17.097,87.188065125976,0.984252,0.3131716,0.249681110352,0,-0.223694,-3.131716,303.5, 4, -0.3,,,0,0,1684,1024,1024,1024,100,0,0,0,303.6,0,0,99,4.278,4.261,4.278,4.278,0,0,2.525,83.66,87.188065125976,0.984252,31,Sport,
3700,2025-08-04 09:51:02,43.5567658019348,-5.62078868985162,1.968504,,,88.172317125976,2.296588,0.223694,0.311631571652,0.41445539384,29,5,17.097,88.172317125976,1.968504,0.3131716,0.311631571652,0,-0.223694,-4.921268,303.5, 2.2, 2.3,,,0,0,1684,1024,1024,1024,100,0,0,0,303.6,0,0,99,4.278,4.261,4.278,4.278,0,0,2.525,83.66,88.172317125976,1.968504,31,Sport,
3900,2025-08-04 09:51:02,43.5567657090607,-5.62078896487352,3.937008,,,90.140821125976,4.265092,0.223694,0.36886156036,0.49467849352,29,5,17.097,90.140821125976,3.937008,0.3131716,0.36886156036,0,-0.223694,-6.71082,303.8, 2.9, 3.4,,,0,0,1684,1024,1024,1024,100,0,0,0,303.6,0,0,99,4.278,4.261,4.278,4.278,0,0,2.525,83.66,90.140821125976,3.937008,31,Sport,
4100,2025-08-04 09:51:02,43.5567656925049,-5.62078902963335,6.233596,,,92.437409125976,6.56168,0,0.38398295192,0.51283466208,31,5,17.097,92.437409125976,6.233596,0.3131716,0.38398295192,0,0,-8.94776,304, 3.4, 3,,,0,0,1684,1024,1024,1024,100,0,0,0,303.6,0,0,99,4.278,4.261,4.278,4.278,0,0,2.525,83.66,92.437409125976,6.233596,31,Sport,
4300,2025-08-04 09:51:02,43.5567656589557,-5.620788883689,9.514436,,,95.718249125976,9.514436,0,0.3436187774,0.55332022768,31,5,17.006,95.718249125976,9.514436,0.3131716,0.38398295192,0,0,-10.961006,304, 2.1, 0.9,,,0,0,1684,1024,1024,1024,100,0,0,0,303.6,0,0,99,4.199,4.182,4.192,4.194,0,0,3.29,83.66,95.718249125976,9.514436,31,Sport,
4500,2025-08-04 09:51:02,43.5567655014401,-5.62078884407154,12.795276,,,98.999089125976,12.795276,0,0.325013789928,0.61173558388,31,5,17.006,98.999089125976,12.795276,0.3131716,0.38398295192,0,0,-12.974252,303.8, 1.1, 2.6,,,0,0,1579,1024,1024,1024,84,0,0,0,303.6,0,0,99,4.199,4.182,4.192,4.194,0,0,3.29,83.66,98.999089125976,12.795276,31,Sport,
4700,2025-08-04 09:51:03,43.5567653035824,-5.62078896920041,17.060368,,,103.26418112598,17.060368,0,0.36139436852,0.69114503524,30,5,17.006,103.26418112598,17.060368,0.3131716,0.38398295192,0,0,-14.987498,304.3, 2.2, 4.5,,,0,0,1221,1024,1024,1024,30,0,0,0,303.6,0,0,99,4.199,4.182,4.192,4.194,0,0,3.29,83.66,103.26418112598,17.060368,31,Sport,
4900,2025-08-04 09:51:03,43.5567651221173,-5.62078904671762,21.653544,,,107.85735712598,20.997376,0,0.39629922528,0.7604494994,30,5,17.006,107.85735712598,21.653544,0.3131716,0.39629922528,0,0,-14.316416,304.6, 2.3, 5.9,,,0,0,1053,1024,1024,1024,4,0,0,0,303.6,0,0,99,4.199,4.182,4.192,4.194,0,0,3.29,83.66,107.85735712598,21.653544,31,Sport,
