time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2025-08-04 10:22:45,43.5567658723261,-5.62078679394701,0,Available with any HD 360 subscription,Available with any HD 360 subscription,86.203813125976,0,0,0,0,27,5,0,86.203813125976,0,0,0,0,0,0,314.6, 2.8, 0.7,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,314.7,0,0,100,4.259,4.258,4.253,4.258,0,0,0,87.08,86.203813125976,0,41,Motors_Started,"Flying over vegetation."
300,2025-08-04 10:22:45,43.5567658832214,-5.62078680292895,0,,,86.203813125976,0,0,0.0046305119592,0.0046305119592,27,5,0,86.203813125976,0,0,0.0046305119592,0,0,0,314.6, 2.8, 0.7,,,0,0,364,364,364,1684,-100,-100,-100,100,314.7,0,0,100,4.259,4.258,4.253,4.258,0,0,0,87.08,86.203813125976,0,41,Motors_Started,
500,2025-08-04 10:22:45,43.5567659062871,-5.62078679923279,0,,,86.203813125976,0,0,0.0124692261208,0.0131025922828,27,5,0,86.203813125976,0,0,0.0124692261208,0,0,0,314.5, 2.8, 0.7,,,0,0,364,364,364,1684,-100,-100,-100,100,314.6,0,0,100,4.259,4.258,4.253,4.258,0,0,0,87.08,86.203813125976,0,41,Motors_Started,"Setting new Return-To-Home altitude to 25m (82 ft). Data Recorder File Index is 199. Setting new Maximum Flight Altitude to 45m (148 ft)"
700,2025-08-04 10:22:45,43.5567658940871,-5.62078682285187,0,,,86.203813125976,0,0,0.0110201447096,0.0207715229744,27,5,0,86.203813125976,0,0,0.0124692261208,0,0,0,314.5, 2.8, 0.7,,,0,0,364,364,364,1684,-100,-100,-100,100,314.6,0,0,100,4.259,4.258,4.253,4.258,0,0,0,87.08,86.203813125976,0,41,Motors_Started,
900,2025-08-04 10:22:45,43.5567658817505,-5.62078684445323,0,,,86.203813125976,0,0,0.0137896001788,0.0280433736008,27,5,17.049,86.203813125976,0,0,0.0137896001788,0,0,0,314.5, 2.7, 0.7,,,0,0,364,364,364,1684,-100,-100,-100,100,314.6,0,0,100,4.259,4.258,4.253,4.258,0,0,2.314,87.08,86.203813125976,0,41,Motors_Started,
1100,2025-08-04 10:22:46,43.5567658802063,-5.62078686747968,0,,,86.203813125976,0,0,0.019653707978,0.034157809492,27,5,17.049,86.203813125976,0,0,0.019653707978,0,0,0,314.5, 2.8, 0.7,,,0,0,364,364,364,1684,-100,-100,-100,100,314.6,0,0,100,4.259,4.258,4.253,4.258,0,0,2.314,87.08,86.203813125976,0,41,Motors_Started,
1300,2025-08-04 10:22:46,43.5567658658209,-5.62078687065573,0,,,86.203813125976,0,0,0.020420440286,0.039473098376,27,5,17.049,86.203813125976,0,0,0.020420440286,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,867,903,1024,0,-24,-18,0,314.7,0,0,100,4.259,4.258,4.253,4.258,0,0,2.314,87.08,86.203813125976,0,41,Motors_Started,
1500,2025-08-04 10:22:46,43.556765875113,-5.62078687043271,0,,,86.203813125976,0,0,0.0202486226952,0.042863518432,27,5,17.049,86.203813125976,0,0,0.020420440286,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.259,4.258,4.253,4.258,0,0,2.314,87.08,86.203813125976,0,41,Motors_Started,
1700,2025-08-04 10:22:46,43.5567658908653,-5.62078686881337,0,,,86.203813125976,0,0,0.0209186686484,0.04862697006,27,5,17.049,86.203813125976,0,0,0.0209186686484,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.259,4.258,4.253,4.258,0,0,2.314,87.08,86.203813125976,0,10,Assisted_Takeoff,
1900,2025-08-04 10:22:46,43.5567658899335,-5.6207868809749,0,,,86.203813125976,0,0,0.0238903879036,0.05186023788,27,5,17.03,86.203813125976,0,0,0.0238903879036,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.272,4.275,4.271,4.275,0,0,4.448,87.08,86.203813125976,0,10,Assisted_Takeoff,
2100,2025-08-04 10:22:47,43.55676589255,-5.6207868836641,0,,,86.203813125976,0,0,0.0248426189052,0.053050526632,27,5,17.03,86.203813125976,0,0,0.0248426189052,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.272,4.275,4.271,4.275,0,0,4.448,87.08,86.203813125976,0,10,Assisted_Takeoff,
2300,2025-08-04 10:22:47,43.5567658803838,-5.62078688755681,0,,,86.203813125976,0,0,0.0249247383304,0.057607285308,27,5,17.03,86.203813125976,0,0,0.0249247383304,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.272,4.275,4.271,4.275,0,0,4.448,87.08,86.203813125976,0,10,Assisted_Takeoff,
2500,2025-08-04 10:22:47,43.5567658874993,-5.62078688241268,0,,,86.203813125976,0,0,0.0240368117928,0.06053805968,27,5,17.03,86.203813125976,0,0,0.0249247383304,0,0,0,314.4, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.272,4.275,4.271,4.275,0,0,4.448,87.08,86.203813125976,0,10,Assisted_Takeoff,
2700,2025-08-04 10:22:47,43.5567659145968,-5.62078687965616,0,,,86.203813125976,0,0,0.0274118447092,0.070451445824,27,5,17.03,86.203813125976,0,0,0.0274118447092,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.272,4.275,4.271,4.275,0,0,4.448,87.08,86.203813125976,0,10,Assisted_Takeoff,"Cambiado al modo-S (Sport)."
2900,2025-08-04 10:22:47,43.5567659196381,-5.62078688164743,0,,,86.203813125976,0,0,0.0289078749408,0.072364503628,26,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.048,87.08,86.203813125976,0,10,Assisted_Takeoff,
3100,2025-08-04 10:22:48,43.5567658939381,-5.62078686896825,0,,,86.203813125976,0,0,0.021345637166,0.082322509196,26,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.048,87.08,86.203813125976,0,10,Assisted_Takeoff,
3300,2025-08-04 10:22:48,43.5567658948038,-5.62078685678243,0,,,86.203813125976,0,0,0.0185277564984,0.085560042108,25,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.048,87.08,86.203813125976,0,10,Assisted_Takeoff,
3500,2025-08-04 10:22:48,43.5567658856175,-5.62078685415862,0,,,86.203813125976,0,0,0.0166423561756,0.088982614396,26,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.5, 2.8, 0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.048,87.08,86.203813125976,0,10,Assisted_Takeoff,
3700,2025-08-04 10:22:48,43.5567658835422,-5.62078685656715,0,,,86.203813125976,0,0,0.0170551842728,0.089971787656,25,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.5, 2.8, 0.7,,,0,0,1554,1024,1024,1024,80,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.048,87.08,86.203813125976,0,10,Assisted_Takeoff,
3900,2025-08-04 10:22:48,43.5567658741937,-5.62078686336151,0,,,86.203813125976,0,0,0.0183660767032,0.093826774656,25,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.5, 2.8, 0.7,,,0,0,1682,1024,1024,1024,100,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.058,87.08,86.203813125976,0,10,Assisted_Takeoff,
4100,2025-08-04 10:22:49,43.5567658810753,-5.62078686365169,0,,,86.203813125976,0,0,0.018704560966,0.096338913844,25,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.4, 2.7, 0.7,,,0,0,1684,1024,1024,1024,100,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.058,87.08,86.203813125976,0,10,Assisted_Takeoff,
4300,2025-08-04 10:22:49,43.556765873467,-5.62078685999117,0,,,86.203813125976,0,0,0.0174672577768,0.099278546484,25,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,0,314.4, 2.5, 0.6,,,0,0,1684,1024,1024,1024,100,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.058,87.08,86.203813125976,0,10,Assisted_Takeoff,
4500,2025-08-04 10:22:49,43.5567658659197,-5.62078687059438,0,,,86.203813125976,0,0,0.0204001646948,0.103208336636,25,5,17.1,86.203813125976,0,0,0.0289078749408,0,0,-0.223694,313.8, -4.1, 1.3,,,0,0,1684,1024,1024,1024,100,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.058,87.08,86.203813125976,0,10,Assisted_Takeoff,
4700,2025-08-04 10:22:49,43.5567660020436,-5.6207871137445,0,,,86.203813125976,0.328084,0.3131716,0.0968996094,0.18444718438,25,5,17.1,86.203813125976,0,0.3131716,0.0968996094,0.223694,-0.223694,-1.342164,314.3, 0.2, 0.2,,,0,0,1684,1024,1024,1024,100,0,0,0,314.6,0,0,100,4.276,4.276,4.272,4.276,0,0,2.058,87.08,86.203813125976,0,31,Sport,
4900,2025-08-04 10:22:50,43.5567661772387,-5.62078745111698,0.656168,,,86.859981125976,0.984252,0.223694,0.206319560408,0.294187017288,25,5,17.019,86.859981125976,0.656168,0.3131716,0.206319560408,0,-0.223694,-2.908022,314.5, 3.7, -0.8,,,0,0,1684,1024,1024,1024,100,0,0,0,314.6,0,0,100,4.206,4.204,4.197,4.198,0,0,3.238,86.9,86.859981125976,0.656168,31,Sport,
5100,2025-08-04 10:22:50,43.5567660717305,-5.6207877822984,1.968504,,,88.172317125976,2.296588,0.223694,0.271261819704,0.38983925132,27,5,17.019,88.172317125976,1.968504,0.3131716,0.271261819704,0,-0.223694,-4.697574,314.6, 1.3, 2.1,,,0,0,1682,1024,1024,1024,100,0,0,0,314.6,0,0,100,4.206,4.204,4.197,4.198,0,0,3.238,86.9,88.172317125976,1.968504,31,Sport,
5300,2025-08-04 10:22:50,43.5567659624749,-5.62078805561767,3.937008,,,90.140821125976,3.937008,0,0.33520670364,0.47237206236,26,5,17.019,90.140821125976,3.937008,0.3131716,0.33520670364,0,0,-6.71082,314.7, 1.7, 3.9,,,0,0,1645,1024,1024,1024,94,0,0,0,314.6,0,0,100,4.206,4.204,4.197,4.198,0,0,3.238,86.9,90.140821125976,3.937008,31,Sport,
5500,2025-08-04 10:22:50,43.5567658409358,-5.62078812763231,6.233596,,,92.437409125976,6.56168,0,0.35281825276,0.52062993792,29,5,17.019,92.437409125976,6.233596,0.3131716,0.35281825276,0,0,-8.94776,314.8, 1, 4.2,,,0,0,1615,1024,1024,1024,90,0,0,0,314.6,0,0,100,4.206,4.204,4.197,4.198,0,0,3.238,86.9,92.437409125976,6.233596,31,Sport,
5700,2025-08-04 10:22:50,43.5567657628856,-5.62078811838216,9.514436,,,95.718249125976,9.514436,0,0.35245407952,0.549212616,31,5,17.019,95.718249125976,9.514436,0.3131716,0.35281825276,0,0,-10.961006,314.9, 0.8, 4.8,,,0,0,1347,1024,1024,1024,49,0,0,0,314.6,0,0,100,4.206,4.204,4.197,4.198,0,0,3.238,86.9,95.718249125976,9.514436,31,Sport,
5900,2025-08-04 10:22:50,43.5567658735719,-5.62078794309118,12.795276,,,98.999089125976,13.12336,0,0.303837936232,0.61068571508,32,5,16.65,98.999089125976,12.795276,0.3131716,0.35281825276,0,0,-12.526864,315, 2.2, 2.2,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,99,4.132,4.131,4.126,4.124,0,0,12.704,86.54,98.999089125976,12.795276,31,Sport,
6100,2025-08-04 10:22:51,43.5567659735008,-5.62078778968983,16.4042,,,102.60801312598,16.4042,0,0.26585302688,0.6652231184,32,5,16.65,102.60801312598,16.4042,0.3131716,0.35281825276,0,0,-11.632088,315, 2.2, 1.8,,,0,0,1024,1024,1024,1024,0,0,0,0,314.6,0,0,99,4.132,4.131,4.126,4.124,0,0,12.704,86.54,102.60801312598,16.4042,31,Sport,
