time(millisecond);Columna1;datetime(utc);latitude;longitude;height_above_takeoff(feet);height_above_ground_at_drone_location(feet);ground_elevation_at_drone_location(feet);altitude_above_seaLevel(feet);height_sonar(feet);speed(mph);distance(feet);mileage(feet);satellites;gpslevel;voltage(v);max_altitude(feet);max_ascent(feet);max_speed(mph);max_distance(feet); xSpeed(mph); ySpeed(mph); zSpeed(mph); compass_heading(degrees); pitch(degrees); roll(degrees);isPhoto;isVideo;rc_elevator;rc_aileron;rc_throttle;rc_rudder;rc_elevator(percent);rc_aileron(percent);rc_throttle(percent);rc_rudder(percent);gimbal_heading(degrees);gimbal_pitch(degrees);gimbal_roll(degrees);battery_percent;voltageCell1;voltageCell2;voltageCell3;voltageCell4;voltageCell5;voltageCell6;current(A);battery_temperature(f);altitude(feet);ascent(feet);flycStateRaw;flycState;message
0;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;Available with any HD 360 subscription;Available with any HD 360 subscription;8,65315E+13;0;0;0;0;27;5;0;8,65315E+13;0;0;0;0;0;0;3402;1;17;0;0;1024;1024;1024;1024;0;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;0;8276;8,65315E+13;0;41;Motors_Started;Setting new Return-To-Home altitude to 25m (82 ft). Data Recorder File Index is 191. Setting new Maximum Flight Altitude to 45m (148 ft)
200;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;2353100469;2353100469;27;5;0;8,65315E+13;0;0;2353100469;0;0;0;3402;1;17;0;0;1024;1024;1024;1024;0;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;0;8276;8,65315E+13;0;41;Motors_Started;
400;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+13;-5,62079E+14;0;;;8,65315E+13;0;0;35027232092;35105316084;27;5;0;8,65315E+13;0;0;35027232092;0;0;0;3402;0;17;0;0;1024;1024;1024;1024;0;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;0;8276;8,65315E+13;0;41;Motors_Started;
600;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;37457022196;3870406948;27;5;0;8,65315E+13;0;0;37457022196;0;0;0;3401;0;17;0;0;1024;1024;1024;1024;0;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;0;8276;8,65315E+13;0;41;Motors_Started;
800;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;35530184864;42059384548;27;5;0;8,65315E+13;0;0;37457022196;0;0;0;3399;1;17;0;0;1024;1024;1024;1024;0;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;0;8276;8,65315E+13;0;41;Motors_Started;
1000;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;2984252064;50106300816;27;5;16874;8,65315E+13;0;0;37457022196;0;0;0;3399;1;17;0;0;1024;1024;1024;1024;0;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;3341;8276;8,65315E+13;0;41;Motors_Started;
1200;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;3,23002E+11;54698492564;27;5;16874;8,65315E+13;0;0;37457022196;0;0;0;340;1;17;0;0;1024;1024;1024;1024;0;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;3341;8276;8,65315E+13;0;41;Motors_Started;
1400;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;2,43534E+11;627788734;27;5;16874;8,65315E+13;0;0;37457022196;0;0;0;340;1;17;0;0;1074;1024;1024;1024;8;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;3341;8276;8,65315E+13;0;41;Motors_Started;
1600;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;22579889174;64687994196;27;5;16874;8,65315E+13;0;0;37457022196;0;0;0;3399;1;17;0;0;1162;1024;1024;1024;21;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;3341;8276;8,65315E+13;0;10;Assisted_Takeoff;
1800;###############################################################################################################################################################################################################################################################;30/07/2025 9:05;4,35568E+14;-5,62079E+14;0;;;8,65315E+13;0;0;1,66129E+11;70664700424;27;5;16874;8,65315E+13;0;0;37457022196;0;0;0;3399;0;17;0;0;1222;1024;1024;1024;30;0;0;0;3401;0;0;97;422;4204;4219;4219;0;0;3341;8276;8,65315E+13;0;10;Assisted_Takeoff;
