time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-07-30 09:36:16,43.5567621661508,-5.62078534300401,0,Available with any HD 360 subscription,Available with any HD 360 subscription,86.531485380556,0,0,0,0,26,5,0,86.531485380556,0,0,0,0,0,0,336, 0, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,0,82.94,86.531485380556,0,41,Motors_Started,"Setting new Return-To-Home altitude to 25m (82 ft). Data Recorder File Index is 193. Setting new Maximum Flight Altitude to 45m (148 ft)"
200,2025-07-30 09:36:16,43.5567621840234,-5.6207853342896,0,,,86.531485380556,0,0,0.0069159122948,0.0069159122948,26,5,0,86.531485380556,0,0,0.0069159122948,0,0,0,336, 0, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,0,82.94,86.531485380556,0,41,Motors_Started,
400,2025-07-30 09:36:16,43.5567621970531,-5.62078534415852,0,,,86.531485380556,0,0,0.0112788061352,0.0123388455392,26,5,0,86.531485380556,0,0,0.0112788061352,0,0,0,336, 0, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,0,82.94,86.531485380556,0,41,Motors_Started,
600,2025-07-30 09:36:17,43.5567622065631,-5.62078532420332,0,,,86.531485380556,0,0,0.0155598102092,0.018653707946,26,5,0,86.531485380556,0,0,0.0155598102092,0,0,0,336, 0, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,0,82.94,86.531485380556,0,41,Motors_Started,
800,2025-07-30 09:36:17,43.5567622087197,-5.62078532464994,0,,,86.531485380556,0,0,0.0162717196808,0.0194493444544,26,5,0,86.531485380556,0,0,0.0162717196808,0,0,0,336, 0, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,0,82.94,86.531485380556,0,41,Motors_Started,
1000,2025-07-30 09:36:17,43.5567621906827,-5.6207853242739,0,,,86.531485380556,0,0,0.010229166994,0.026030840728,26,5,0,86.531485380556,0,0,0.0162717196808,0,0,0,336, 0, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,0,82.94,86.531485380556,0,41,Motors_Started,
1200,2025-07-30 09:36:17,43.556762187404,-5.62078534463867,0,,,86.531485380556,0,0,0.0077662732144,0.0315466545528,26,5,0,86.531485380556,0,0,0.0162717196808,0,0,0,336, 0, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,0,82.94,86.531485380556,0,41,Motors_Started,
1400,2025-07-30 09:36:18,43.5567621886178,-5.62078534884386,0,,,86.531485380556,0,0,0.0083412404244,0.0327434721764,26,5,16.95,86.531485380556,0,0,0.0162717196808,0,0,0,336, 0, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,4.717,82.94,86.531485380556,0,41,Motors_Started,
1600,2025-07-30 09:36:18,43.5567621975547,-5.62078536686435,0,,,86.531485380556,0,0,0.013079724828,0.0385170616,26,5,16.95,86.531485380556,0,0,0.0162717196808,0,0,0,336, 0, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,4.717,82.94,86.531485380556,0,10,Assisted_Takeoff,
1800,2025-07-30 09:36:18,43.5567621868821,-5.62078534334099,0,,,86.531485380556,0,0,0.0075643375124,0.045854988344,26,5,16.95,86.531485380556,0,0,0.0162717196808,0,0,0,336, 0, 1.3,0,0,1684,1024,1024,1024,100,0,0,0,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,4.717,82.94,86.531485380556,0,10,Assisted_Takeoff,
2000,2025-07-30 09:36:18,43.5567621874074,-5.62078533804805,0,,,86.531485380556,0,0,0.0078653545824,0.047267389964,26,5,16.95,86.531485380556,0,0,0.0162717196808,0,0,0,336, 0, 1.3,0,0,1684,1024,1024,1024,100,0,0,0,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,4.717,82.94,86.531485380556,0,10,Assisted_Takeoff,
2200,2025-07-30 09:36:18,43.5567621899599,-5.62078531153432,0,,,86.531485380556,0,0,0.0120288389676,0.054339568668,27,5,16.95,86.531485380556,0,0,0.0162717196808,0,0,0,336, -0.2, 1.3,0,0,1683,1037,1024,1024,100,2,0,0,336.2,0,0,99,4.237,4.236,4.238,4.248,0,0,4.717,82.94,86.531485380556,0,10,Assisted_Takeoff,
2400,2025-07-30 09:36:19,43.5567622338987,-5.62078534423697,0,,,86.531485380556,0,0,0.0247199482976,0.072553808096,26,5,17.06,86.531485380556,0,0,0.0247199482976,0,0,0,335.6, -3.2, 1.3,0,0,1682,1040,1024,1024,100,2,0,0,336.2,0,0,99,4.254,4.249,4.243,4.245,0,0,2.507,82.94,86.531485380556,0,10,Assisted_Takeoff,
2600,2025-07-30 09:36:19,43.5567624991053,-5.62078547454902,0,,,86.531485380556,0.328084,0.447388,0.126359256012,0.17526575364,26,5,17.06,86.531485380556,0,0.447388,0.126359256012,0.447388,0,-0.894776,335.6, -2.5, 0.9,0,0,1682,1045,1024,1024,100,3,0,0,336.2,0,0,99,4.254,4.249,4.243,4.245,0,0,2.507,82.94,86.531485380556,0,6,P-GPS,
2800,2025-07-30 09:36:19,43.5567629842841,-5.62078567748796,0.656168,,,87.187653380556,0.656168,0.447388,0.311321204188,0.360236232,26,5,17.06,87.187653380556,0.656168,0.447388,0.311321204188,0.447388,0,-2.23694,336, 5.2, -0.9,0,0,1682,1046,1024,1024,100,3,0,0,336.2,0,0,99,4.254,4.249,4.243,4.245,0,0,2.507,82.94,87.187653380556,0.656168,6,P-GPS,
3000,2025-07-30 09:36:19,43.5567631759654,-5.62078581246431,1.64042,,,88.171905380556,1.64042,0,0.38877954,0.43875001404,24,5,17.06,88.171905380556,1.64042,0.447388,0.38877954,0,0,-4.026492,336, 3.6, -0.1,0,0,1682,1046,1024,1024,100,3,0,0,336.2,0,0,99,4.254,4.249,4.243,4.245,0,0,2.507,82.94,88.171905380556,1.64042,6,P-GPS,
3200,2025-07-30 09:36:19,43.556763103084,-5.62078583803995,2.952756,,,89.484241380556,3.28084,0,0.36604003796,0.46618767896,24,5,17.06,89.484241380556,2.952756,0.447388,0.38877954,0,0,-6.039738,336.2, 0.5, 0.2,0,0,1682,1058,1024,1024,100,5,0,0,336.2,0,0,99,4.254,4.249,4.243,4.245,0,0,2.507,82.94,89.484241380556,2.952756,6,P-GPS,
3400,2025-07-30 09:36:20,43.5567629899426,-5.62078570077209,5.249344,,,91.780829380556,5.577428,0,0.315094498272,0.52115487232,24,5,16.641,91.780829380556,5.249344,0.447388,0.38877954,0,0,-8.052984,336, 0.1, 0.8,0,0,1682,1063,1024,1024,100,6,0,0,336.2,0,0,99,4.144,4.14,4.133,4.137,0,0,9.413,82.76,91.780829380556,5.249344,6,P-GPS,
3600,2025-07-30 09:36:20,43.5567628917038,-5.62078558437014,8.2021,,,94.733585380556,8.2021,0,0.2723015179,0.56839568748,24,4,16.641,94.733585380556,8.2021,0.447388,0.38877954,0,0,-10.289924,336.2, 0.8, 0.8,0,0,1682,1068,1024,1024,100,7,0,0,336.2,0,0,99,4.144,4.14,4.133,4.137,0,0,9.413,82.76,94.733585380556,8.2021,6,P-GPS,
3800,2025-07-30 09:36:20,43.5567627403225,-5.6207853382697,11.48294,,,98.014425380556,11.48294,0,0.2094898361,0.65374674008,24,4,16.641,98.014425380556,11.48294,0.447388,0.38877954,0,0,-12.30317,336.3, -0.3, -0.4,0,0,1682,1069,1024,1024,100,7,0,0,336.3,0,0,99,4.144,4.14,4.133,4.137,0,0,9.413,82.76,98.014425380556,11.48294,6,P-GPS,
4000,2025-07-30 09:36:20,43.5567626162727,-5.62078519069136,15.419948,,,101.95143338056,15.419948,0,0.169092525096,0.71350395984,24,4,16.641,101.95143338056,15.419948,0.447388,0.38877954,0,0,-13.42164,336.4, -0.5, -0.5,0,0,1682,1069,1024,1024,100,7,0,0,336.3,0,0,99,4.144,4.14,4.133,4.137,0,0,9.413,82.76,101.95143338056,15.419948,6,P-GPS,
4200,2025-07-30 09:36:20,43.5567623944905,-5.6207852026595,20.013124,,,106.54460938056,19.028872,0.223694,0.091200134152,0.79448493356,24,4,16.641,106.54460938056,20.013124,0.447388,0.38877954,-0.223694,0,-13.645334,336.5, -1.6, 1.3,0,0,1615,1024,1024,1024,90,0,0,0,336.4,0,0,99,4.144,4.14,4.133,4.137,0,0,9.413,82.76,106.54460938056,20.013124,6,P-GPS,
4400,2025-07-30 09:36:21,43.5567621614042,-5.6207852676999,23.950132,,,110.48161738056,22.96588,0,0.0199858274112,0.88124674736,24,4,16.437,110.48161738056,23.950132,0.447388,0.38877954,0,0,-13.42164,336.5, -2.7, 2.7,0,0,1547,1024,1024,1024,79,0,0,0,336.4,0,0,99,4.133,4.135,4.135,4.142,0,0,16.481,82.76,110.48161738056,23.950132,6,P-GPS,
4600,2025-07-30 09:36:21,43.5567619501685,-5.62078535089867,27.88714,,,114.41862538056,26.574804,0,0.07882874268,0.96139438772,24,5,16.437,114.41862538056,27.88714,0.447388,0.38877954,0,0,-12.526864,336.5, -2.9, 3.2,0,0,1179,1024,1024,1024,23,0,0,0,336.4,0,0,99,4.133,4.135,4.135,4.142,0,0,16.481,82.76,114.41862538056,27.88714,6,P-GPS,
4800,2025-07-30 09:36:21,43.5567618842825,-5.62078544119663,31.496064,,,118.02754938056,29.855644,0,0.106065948276,0.9952756224,24,5,16.437,118.02754938056,31.496064,0.447388,0.38877954,0,0,-10.737312,336.5, -2.5, 3.3,0,0,1024,1024,1024,1024,0,0,0,0,336.4,0,0,99,4.133,4.135,4.135,4.142,0,0,16.481,82.76,118.02754938056,31.496064,6,P-GPS,
5000,2025-07-30 09:36:21,43.5567618950943,-5.62078552423265,33.792652,,,120.32413738056,32.8084,0,0.109892063884,1.01758205356,24,5,16.437,120.32413738056,33.792652,0.447388,0.38877954,0,0,-8.500372,336.5, -2.1, 3.3,0,0,1048,1024,1024,1024,4,0,0,0,336.4,0,0,99,4.133,4.135,4.135,4.142,0,0,16.481,82.76,120.32413738056,33.792652,6,P-GPS,
5200,2025-07-30 09:36:21,43.5567619422573,-5.62078552740598,35.761156,,,122.29264138056,34.776904,0,0.095131564724,1.0348097444,24,5,16.437,122.29264138056,35.761156,0.447388,0.38877954,0,0,-6.039738,336.6, -1.9, 3.5,0,0,1682,1259,1024,1024,100,36,0,0,336.5,0,0,99,4.133,4.135,4.135,4.142,0,0,16.481,82.76,122.29264138056,35.761156,6,P-GPS,
5400,2025-07-30 09:36:22,43.5567620004858,-5.62078540968523,37.073492,,,123.60497738056,36.08924,0,0.062961616188,1.07249347264,24,5,16.834,123.60497738056,37.073492,0.447388,0.38877954,0,0,-4.47388,336.8, -1.6, 3.1,0,0,1684,1131,1024,1024,100,16,0,0,337.9,0,0,99,4.222,4.221,4.219,4.224,0,0,8.921,83.12,123.60497738056,37.073492,6,P-GPS,
5600,2025-07-30 09:36:22,43.5567620791354,-5.62078524704304,38.385828,,,124.91731338056,37.72966,0,0.040640749332,1.12419294936,24,5,16.834,124.91731338056,38.385828,0.447388,0.38877954,0,0,-6.039738,338.1, -1.2, 2.3,0,0,1683,1136,1024,1024,100,17,0,0,338.1,0,0,99,4.222,4.221,4.219,4.224,0,0,8.921,83.12,124.91731338056,38.385828,6,P-GPS,
5800,2025-07-30 09:36:22,43.5567621666951,-5.62078494944319,40.026248,,,126.55773338056,38.713912,0,0.104059058448,1.20911421192,24,5,16.834,126.55773338056,40.026248,0.447388,0.38877954,0,0,-8.052984,338.2, -0.9, 1.8,0,0,1682,1126,1024,1024,100,15,0,0,338.3,0,0,99,4.222,4.221,4.219,4.224,0,0,8.921,83.12,126.55773338056,40.026248,6,P-GPS,
