ID,UTC,LAT,LON,NSAT,WIND_DIR_LOWER,WIND_SPD_LOWER,WIND_DIR_UPPER,WIND_SPD_UPPER,STRUCT_ORIENT,PITCH_ANGLE,ROLL_ANGLE,BAT,VOLBAT
1,807174312,435451673,-56654472,5,nan,nan,102.0,0.500,137.9,18,26,99.4,4.169
1,807174313,435452293,-56654796,5,0.0,0.000,102.0,0.000,137.7,16,25,99.4,4.181
1,807174314,435453012,-56655223,5,0.0,0.000,102.0,0.500,137.5,17,26,99.4,4.180
1,807174315,435453704,-56655648,5,0.0,0.000,nan,nan,138.4,17,26,99.4,4.181
1,807174316,435454457,-56656155,5,0.0,0.000,102.0,0.500,137.5,15,25,99.4,4.179
1,807174317,435454842,-56656451,5,0.0,0.000,102.0,0.000,137.6,16,25,99.4,4.177
1,807174318,435455268,-56656739,5,0.0,0.000,102.0,0.500,138.0,16,25,99.4,4.179
1,807174319,435455540,-56656898,5,0.0,0.000,102.0,0.600,137.7,16,25,99.4,4.180
1,807174320,435455832,-56657076,5,0.0,0.000,102.0,0.000,137.8,16,25,99.4,4.180
1,807174321,435456139,-56657287,5,0.0,0.000,102.0,0.600,137.8,16,25,99.4,4.180
1,807174322,435456169,-56657295,5,0.0,0.000,102.0,0.600,137.8,16,25,99.4,4.180
1,807174323,435456040,-56657190,5,0.0,0.000,102.0,0.500,137.9,16,25,99.4,4.182
1,807174324,435455903,-56657086,5,0.0,0.000,102.0,0.000,137.9,16,25,99.4,4.180
1,807174325,435455678,-56656925,5,0.0,0.000,102.0,0.000,137.9,16,25,99.4,4.180
1,807174326,435455357,-56656694,5,0.0,0.000,102.0,0.000,138.0,16,25,99.4,4.182
1,807174327,435454970,-56656426,5,0.0,0.000,102.0,0.000,139.3,18,26,99.4,4.180
1,807174328,435454567,-56656131,5,0.0,0.000,102.0,0.000,139.2,17,26,99.4,4.180
1,807174329,435454264,-56655899,5,0.0,0.000,102.0,0.000,138.3,16,25,99.4,4.181
1,807174330,435454058,-56655770,5,0.0,0.000,102.0,0.000,138.2,16,25,99.4,4.180
1,807174331,435453803,-56655594,5,nan,nan,102.0,0.000,138.2,15,25,99.4,4.180
1,807174332,435453734,-56655553,5,0.0,0.000,102.0,0.000,137.9,16,25,99.4,4.181
1,807174333,435453755,-56655596,5,0.0,0.000,102.0,0.000,138.5,16,25,99.4,4.179
1,807174334,435453774,-56655635,5,0.0,0.000,102.0,0.000,139.0,16,25,99.4,4.180
1,807174335,435453818,-56655684,5,0.0,0.000,102.0,0.000,137.8,14,25,99.4,4.177
1,807174336,435453891,-56655750,5,0.0,0.000,102.0,0.000,137.7,15,25,99.4,4.179
1,807174337,435454015,-56655853,5,0.0,0.000,102.0,0.000,138.4,15,25,99.4,4.181
1,807174338,435454135,-56655952,5,0.0,0.500,102.0,0.000,138.4,15,25,99.4,4.181
1,807174339,435455888,-56657121,8,0.0,0.000,102.0,0.000,138.0,15,25,99.4,4.182
1,807174340,435455644,-56656919,6,0.0,0.700,102.0,0.000,138.4,15,25,99.4,4.184
1,807174341,435456342,-56657328,7,0.0,0.500,102.0,0.000,138.3,15,25,99.4,4.182
1,807174342,435456689,-56657494,7,0.0,0.000,102.0,0.000,138.2,15,25,99.4,4.184
1,807174343,435456587,-56657386,8,0.0,0.000,102.0,0.000,138.5,15,25,99.4,4.182
1,807174344,435456278,-56657184,7,0.0,0.000,102.0,0.000,138.5,15,25,99.4,4.185
1,807174345,435456934,-56657413,7,0.0,0.000,102.0,0.000,138.6,15,25,99.4,4.185
1,807174346,435457370,-56657657,7,0.0,0.000,102.0,0.000,138.6,15,25,99.4,4.180
1,807174347,435457732,-56658062,7,0.0,0.000,102.0,0.000,138.7,15,25,99.4,4.184
1,807174348,435457768,-56658261,8,0.0,0.000,102.0,0.000,138.5,15,25,99.4,4.182
1,807174349,435458171,-56658646,7,0.0,0.700,102.0,0.600,138.7,15,25,99.4,4.185
1,807174350,435458488,-56658900,8,0.0,0.500,102.0,0.500,138.9,15,25,99.4,4.182
1,807174351,435458795,-56659176,7,0.0,0.600,nan,nan,139.0,15,25,99.4,4.186
1,807174352,435458528,-56658995,7,0.0,0.000,102.0,0.000,138.9,15,25,99.4,4.181
1,807174353,435458703,-56658832,7,0.0,0.000,102.0,0.000,139.3,15,25,99.4,4.185
1,807174354,435458507,-56658876,7,0.0,0.000,102.0,0.000,139.2,15,25,99.4,4.184
1,807174355,435458366,-56658888,7,0.0,0.000,102.0,0.000,139.1,15,25,99.4,4.181
1,807174356,435458541,-56658594,7,0.0,0.000,102.0,0.000,139.2,15,25,99.4,4.182
1,807174357,435458615,-56658330,8,0.0,0.600,102.0,0.000,139.2,15,25,99.4,4.182
1,807174358,435458918,-56658519,7,0.0,0.900,102.0,0.000,139.4,15,25,99.4,4.181
1,807174359,435458652,-56658486,7,71.0,1.000,102.0,0.600,139.3,15,25,99.4,4.182
1,807174360,435458813,-56658636,7,69.0,1.000,102.0,0.600,139.4,15,25,99.4,4.182
1,807174361,435458785,-56658711,8,74.0,1.000,102.0,0.800,139.4,15,25,99.4,4.184
1,807174362,435458712,-56658698,7,71.0,0.900,102.0,0.800,139.5,15,25,99.4,4.182
1,807174363,435458702,-56658615,7,71.0,0.800,102.0,0.700,139.5,15,25,99.4,4.182
1,807174364,435458597,-56658588,7,71.0,0.500,102.0,0.700,139.7,15,25,99.4,4.184
